Codi,(km2)
251386,28.94
81265,2.91
81326,76.49
81332,13.62
430901,72.8
81350,4
251425,7.34
251410,29.47
251431,12.32
81363,10.23
430918,34.72
171100,12.31
430923,63.32
81379,26.77
430939,45.12
430944,15.93
430957,5.94
430960,52.88
81290,40.3
81398,47.79
251459,9.25
250254,255.75
81402,5.52
81419,80.62
171117,18.48
251462,145.27
81424,25.01
430976,4.32
430982,10.61
251484,114.38
81430,52.66
171122,45.22
81458,30.15
81461,30.79
81477,16.63
251497,32.37
251500,86.28
251517,54.84
81483,38.75
81496,29.37
171143,29.03
251522,18.95
81445,35.58
251538,11.06
251543,13.48
171156,8.55
251556,12.53
81509,27.17
81516,68.49
81521,15.23
81537,5.66
251569,135.96
171169,52.07
251575,26.29
81542,6.27
81555,16.56
171175,26.88
171181,13.98
251581,12.27
171194,8.44
171215,12.39
171208,16.45
81568,14.93
431009,5.13
81574,8.3
430995,37.92
89058,5.46
171236,17.98
171241,25.83
81580,8.95
171254,31.05
81593,9.12
171267,6.18
431016,27.35
171289,10.7
431021,43.83
171292,8.65
251641,25.51
171306,11.54
81607,19.59
431037,9.54
171328,43.61
251654,56.17
431042,100.67
81614,57.2
431055,22.39
81635,10.74
431068,56.99
251667,91.11
251673,104.32
431074,8.01
431080,34.99
81640,9.57
171334,37.5
171349,18.75
259118,55.89
251689,8.88
251692,61.92
81653,18.54
81666,51.45
431093,6.21
431107,43.4
431114,12.29
251713,32.83
431129,13.95
81672,8.79
431135,21.67
250306,42.62
171352,8.66
251734,148.14
81825,27.41
431418,67.56
81688,25.94
171365,13.66
251728,30.52
171371,33.52
431140,28.83
171404,41.62
171387,9.22
251749,12.31
431153,21.83
431166,32.58
431172,26.43
81691,31.41
431188,36.27
81712,13.78
81705,26.06
251752,6.57
251765,21.52
251771,28.67
82303,6.57
81727,2.11
171390,9.39
251790,21.21
171411,18.92
81748,0.4
251804,9.9
431191,9.48
81751,45.75
251811,17
251826,12.51
81764,31.43
81770,38.25
171426,38.09
170433,93.47
